iter	Passed	Remaining
795	7353	1884
796	7360	1874
797	7368	1865
798	7377	1855
799	7386	1846
800	7393	1836
801	7400	1826
802	7406	1816
803	7413	1807
804	7419	1797
805	7426	1787
806	7431	1777
807	7437	1767
808	7444	1757
809	7450	1747
810	7457	1738
811	7464	1728
812	7470	1718
813	7477	1708
814	7484	1698
815	7491	1689
816	7498	1679
817	7505	1669
818	7512	1660
819	7518	1650
820	7526	1640
821	7532	1631
822	7539	1621
823	7547	1612
824	7553	1602
825	7562	1593
826	7570	1583
827	7577	1574
828	7584	1564
829	7591	1554
830	7598	1545
831	7606	1535
832	7614	1526
833	7621	1516
834	7628	1507
835	7635	1497
836	7641	1488
837	7647	1478
838	7655	1468
839	7661	1459
840	7669	1449
841	7676	1440
842	7683	1430
843	7690	1421
844	7696	1411
845	7704	1402
846	7712	1393
847	7720	1383
848	7729	1374
849	7736	1365
850	7743	1355
851	7751	1346
852	7756	1336
853	7762	1327
854	7769	1317
855	7775	1308
856	7782	1298
857	7789	1289
858	7794	1279
859	7802	1270
860	7808	1260
861	7814	1251
862	7823	1241
863	7834	1233
864	7840	1223
865	7851	1214
866	7857	1205
867	7865	1196
868	7873	1186
869	7881	1177
870	7888	1168
871	7894	1158
872	7902	1149
873	7908	1140
874	7916	1130
875	7923	1121
876	7931	1112
877	7937	1102
878	7945	1093
879	7953	1084
880	7966	1076
881	7973	1066
882	7984	1057
883	7992	1048
884	8001	1039
885	8011	1030
886	8018	1021
887	8032	1013
888	8039	1003
889	8048	994
890	8054	985
891	8063	976
892	8069	966
893	8078	957
894	8085	948
895	8094	939
896	8101	930
897	8108	921
898	8116	911
899	8125	902
900	8132	893
901	8144	884
902	8151	875
903	8160	866
904	8167	857
905	8175	848
906	8181	838
907	8189	829
908	8195	820
909	8201	811
910	8208	801
911	8215	792
912	8222	783
913	8228	774
914	8236	765
915	8243	755
916	8250	746
917	8259	737
918	8267	728
919	8275	719
920	8283	710
921	8292	701
922	8298	692
923	8307	683
924	8313	674
925	8321	665
926	8329	655
927	8337	646
928	8344	637
929	8351	628
930	8362	619
931	8370	610
932	8378	601
933	8385	592
934	8392	583
935	8400	574
936	8407	565
937	8414	556
938	8422	547
939	8429	538
940	8438	529
941	8444	519
942	8453	510
943	8460	501
944	8472	493
945	8479	484
946	8489	475
947	8495	466
948	8503	456
949	8509	447
950	8518	438
951	8525	429
952	8534	420
953	8542	411
954	8551	402
955	8558	393
956	8566	384
957	8573	375
958	8586	367
959	8595	358
960	8606	349
961	8615	340
962	8625	331
963	8636	322
964	8644	313
965	8653	304
966	8662	295
967	8669	286
968	8678	277
969	8686	268
970	8694	259
971	8701	250
972	8708	241
973	8715	232
974	8722	223
975	8729	214
976	8736	205
977	8743	196
978	8749	187
979	8755	178
980	8762	169
981	8768	160
982	8776	151
983	8783	142
984	8791	133
985	8797	124
986	8804	115
987	8812	107
988	8824	98
989	8833	89
990	8841	80
991	8852	71
992	8862	62
993	8871	53
994	8878	44
995	8884	35
996	8891	26
997	8898	17
998	8906	8
999	8912	0
